Time Period,3 Month Maturity,1 Year Maturity,2 Year Maturity,3 Year Maturity,5 Year Maturity,10 Year Maturity
7/1/1970,6.45,7.1,7.33,7.56,7.59,7.46
8/1/1970,6.41,6.98,7.22,7.46,7.57,7.53
9/1/1970,6.12,6.73,6.92,7.11,7.29,7.39
10/1/1970,5.91,6.43,6.695,6.96,7.12,7.33
11/1/1970,5.28,5.51,5.88,6.25,6.47,6.84
12/1/1970,4.87,5,5.375,5.75,5.95,6.39
1/1/1971,4.44,4.57,5.09,5.61,5.89,6.24
2/1/1971,3.7,3.89,4.48,5.07,5.56,6.11
3/1/1971,3.38,3.69,4.095,4.5,5,5.7
4/1/1971,3.86,4.3,4.76,5.22,5.65,5.83
5/1/1971,4.14,5.04,5.505,5.97,6.28,6.39
6/1/1971,4.75,5.64,5.98,6.32,6.53,6.52
7/1/1971,5.4,6.04,6.39,6.74,6.85,6.73
8/1/1971,4.94,5.8,6.075,6.35,6.55,6.58
9/1/1971,4.69,5.41,5.65,5.89,6.14,6.14
10/1/1971,4.46,4.91,5.235,5.56,5.93,5.93
11/1/1971,4.22,4.67,5.01,5.35,5.78,5.81
12/1/1971,4.01,4.6,4.935,5.27,5.69,5.93
1/1/1972,3.38,4.28,4.71,5.14,5.59,5.95
2/1/1972,3.2,4.27,4.76,5.25,5.69,6.08
3/1/1972,3.73,4.67,5.115,5.56,5.87,6.07
4/1/1972,3.71,4.96,5.42,5.88,6.17,6.19
5/1/1972,3.69,4.64,5.095,5.55,5.85,6.13
6/1/1972,3.91,4.93,5.285,5.64,5.91,6.11
7/1/1972,3.98,4.96,5.37,5.78,5.97,6.11
8/1/1972,4.02,4.98,5.385,5.79,6.02,6.21
9/1/1972,4.66,5.52,5.79,6.06,6.25,6.55
10/1/1972,4.74,5.52,5.785,6.05,6.18,6.48
11/1/1972,4.78,5.27,5.605,5.94,6.12,6.28
12/1/1972,5.07,5.52,5.765,6.01,6.16,6.36
1/1/1973,5.41,5.89,6.08,6.27,6.34,6.46
2/1/1973,5.6,6.19,6.385,6.58,6.6,6.64
3/1/1973,6.09,6.85,6.855,6.86,6.8,6.71
4/1/1973,6.26,6.85,6.815,6.78,6.67,6.67
5/1/1973,6.36,6.89,6.86,6.83,6.8,6.85
6/1/1973,7.19,7.31,7.075,6.84,6.69,6.9
7/1/1973,8.01,8.39,7.965,7.54,7.33,7.13
8/1/1973,8.67,8.82,8.355,7.89,7.63,7.4
9/1/1973,8.29,8.31,7.78,7.25,7.05,7.09
10/1/1973,7.22,7.4,7.105,6.81,6.77,6.79
11/1/1973,7.83,7.57,7.285,7,6.92,6.73
12/1/1973,7.45,7.27,7.04,6.81,6.8,6.74
1/1/1974,7.77,7.42,7.19,6.96,6.95,6.99
2/1/1974,7.12,6.88,6.82,6.76,6.82,6.96
3/1/1974,7.96,7.76,7.555,7.35,7.31,7.21
4/1/1974,8.33,8.62,8.335,8.05,7.92,7.51
5/1/1974,8.23,8.78,8.525,8.27,8.18,7.58
6/1/1974,7.9,8.67,8.41,8.15,8.1,7.54
7/1/1974,7.55,8.8,8.605,8.41,8.38,7.81
8/1/1974,8.96,9.36,9.01,8.66,8.63,8.04
9/1/1974,8.06,8.87,8.64,8.41,8.37,8.04
10/1/1974,7.46,8.05,8.025,8,7.97,7.9
11/1/1974,7.47,7.66,7.635,7.61,7.68,7.68
12/1/1974,7.15,7.31,7.275,7.24,7.31,7.43
1/1/1975,6.26,6.83,7.03,7.23,7.41,7.5
2/1/1975,5.5,5.98,6.315,6.65,7.11,7.39
3/1/1975,5.49,6.11,6.46,6.81,7.3,7.73
4/1/1975,5.61,6.9,7.33,7.76,7.99,8.23
5/1/1975,5.23,6.39,6.89,7.39,7.72,8.06
6/1/1975,5.34,6.29,6.73,7.17,7.51,7.86
7/1/1975,6.13,7.11,7.415,7.72,7.92,8.06
8/1/1975,6.44,7.7,7.93,8.16,8.33,8.4
9/1/1975,6.42,7.75,8.02,8.29,8.37,8.43
10/1/1975,5.96,6.95,7.38,7.81,7.97,8.14
11/1/1975,5.48,6.49,6.975,7.46,7.8,8.05
12/1/1975,5.44,6.6,7.015,7.43,7.76,8
1/1/1976,4.87,5.81,6.4,6.99,7.46,7.74
2/1/1976,4.88,5.91,6.485,7.06,7.45,7.79
3/1/1976,5,6.21,6.67,7.13,7.49,7.73
4/1/1976,4.86,5.92,6.38,6.84,7.25,7.56
5/1/1976,5.2,6.4,6.835,7.27,7.59,7.9
6/1/1976,5.41,6.52,6.915,7.31,7.61,7.86
7/1/1976,5.23,6.2,6.66,7.12,7.49,7.83
8/1/1976,5.14,6,6.43,6.86,7.31,7.77
9/1/1976,5.08,5.84,6.25,6.66,7.13,7.59
10/1/1976,4.92,5.5,5.87,6.24,6.75,7.41
11/1/1976,4.75,5.29,5.69,6.09,6.52,7.29
12/1/1976,4.35,4.89,5.285,5.68,6.1,6.87
1/1/1977,4.62,5.29,5.755,6.22,6.58,7.21
2/1/1977,4.67,5.47,5.955,6.44,6.83,7.39
3/1/1977,4.6,5.5,5.985,6.47,6.93,7.46
4/1/1977,4.54,5.44,5.875,6.31,6.79,7.37
5/1/1977,4.96,5.84,6.195,6.55,6.94,7.46
6/1/1977,5.02,5.8,6.095,6.39,6.76,7.28
7/1/1977,5.19,5.94,6.225,6.51,6.84,7.33
8/1/1977,5.49,6.37,6.58,6.79,7.03,7.4
9/1/1977,5.81,6.53,6.685,6.84,7.04,7.34
10/1/1977,6.16,6.97,7.08,7.19,7.32,7.52
11/1/1977,6.1,6.95,7.085,7.22,7.34,7.58
12/1/1977,6.07,6.96,7.13,7.3,7.48,7.69
1/1/1978,6.44,7.28,7.445,7.61,7.77,7.96
2/1/1978,6.45,7.34,7.505,7.67,7.83,8.03
3/1/1978,6.29,7.31,7.505,7.7,7.86,8.04
4/1/1978,6.29,7.45,7.65,7.85,7.98,8.15
5/1/1978,6.41,7.82,7.945,8.07,8.18,8.35
6/1/1978,6.73,8.09,8.195,8.3,8.36,8.46
7/1/1978,7.01,8.39,8.465,8.54,8.54,8.64
8/1/1978,7.08,8.31,8.32,8.33,8.33,8.41
9/1/1978,7.85,8.64,8.525,8.41,8.43,8.42
10/1/1978,7.99,9.14,8.88,8.62,8.61,8.64
11/1/1978,8.64,10.01,9.525,9.04,8.84,8.81
12/1/1978,9.08,10.3,9.815,9.33,9.08,9.01
1/1/1979,9.35,10.41,9.955,9.5,9.2,9.1
2/1/1979,9.32,10.24,9.765,9.29,9.13,9.1
3/1/1979,9.48,10.25,9.815,9.38,9.2,9.12
4/1/1979,9.46,10.12,9.775,9.43,9.25,9.18
5/1/1979,9.61,10.12,9.77,9.42,9.24,9.25
6/1/1979,9.06,9.57,9.26,8.95,8.85,8.91
7/1/1979,9.24,9.64,9.29,8.94,8.9,8.95
8/1/1979,9.52,9.98,9.56,9.14,9.06,9.03
9/1/1979,10.26,10.84,10.265,9.69,9.41,9.33
10/1/1979,11.7,12.44,11.695,10.95,10.63,10.3
11/1/1979,11.79,12.39,11.785,11.18,10.93,10.65
12/1/1979,12.04,11.98,11.345,10.71,10.42,10.39
1/1/1980,12,12.06,11.47,10.88,10.74,10.8
2/1/1980,12.86,13.92,13.38,12.84,12.6,12.41
3/1/1980,15.2,15.82,14.935,14.05,13.47,12.75
4/1/1980,13.2,13.3,12.66,12.02,11.84,11.47
5/1/1980,8.58,9.39,9.415,9.44,9.95,10.18
6/1/1980,7.07,8.16,8.535,8.91,9.21,9.78
7/1/1980,8.06,8.65,8.96,9.27,9.53,10.25
8/1/1980,9.13,10.24,10.435,10.63,10.84,11.1
9/1/1980,10.27,11.52,11.545,11.57,11.62,11.51
10/1/1980,11.62,12.49,12.25,12.01,11.86,11.75
11/1/1980,13.73,14.15,13.73,13.31,12.83,12.68
12/1/1980,15.49,14.88,14.265,13.65,13.25,12.84
1/1/1981,15.02,14.08,13.545,13.01,12.77,12.57
2/1/1981,14.79,14.57,14.11,13.65,13.41,13.19
3/1/1981,13.36,13.71,13.61,13.51,13.41,13.12
4/1/1981,13.69,14.32,14.205,14.09,13.99,13.68
5/1/1981,16.3,16.2,15.64,15.08,14.63,14.1
6/1/1981,14.73,14.86,14.575,14.29,13.95,13.47
7/1/1981,14.95,15.72,15.435,15.15,14.79,14.28
8/1/1981,15.51,16.72,16.36,16,15.56,14.94
9/1/1981,14.7,16.52,16.37,16.22,15.93,15.32
10/1/1981,13.54,15.38,15.44,15.5,15.41,15.15
11/1/1981,10.86,12.41,12.76,13.11,13.38,13.39
12/1/1981,10.85,12.85,13.255,13.66,13.6,13.72
1/1/1982,12.28,14.32,14.48,14.64,14.65,14.59
2/1/1982,13.48,14.73,14.73,14.73,14.54,14.43
3/1/1982,12.68,13.95,14.04,14.13,13.98,13.86
4/1/1982,12.7,13.98,14.08,14.18,14,13.87
5/1/1982,12.09,13.34,13.555,13.77,13.75,13.62
6/1/1982,12.47,14.07,14.275,14.48,14.43,14.3
7/1/1982,11.35,13.24,13.62,14,14.07,13.95
8/1/1982,8.68,11.43,12.025,12.62,13,13.06
9/1/1982,7.92,10.85,11.44,12.03,12.25,12.34
10/1/1982,7.71,9.32,9.97,10.62,10.8,10.91
11/1/1982,8.07,9.16,9.57,9.98,10.38,10.55
12/1/1982,7.94,8.91,9.395,9.88,10.22,10.54
1/1/1983,7.86,8.62,9.13,9.64,10.03,10.46
2/1/1983,8.11,8.92,9.415,9.91,10.26,10.72
3/1/1983,8.35,9.04,9.44,9.84,10.08,10.51
4/1/1983,8.21,8.98,9.37,9.76,10.02,10.4
5/1/1983,8.19,8.9,9.28,9.66,10.03,10.38
6/1/1983,8.79,9.66,9.99,10.32,10.63,10.85
7/1/1983,9.08,10.2,10.55,10.9,11.21,11.38
8/1/1983,9.34,10.53,10.915,11.3,11.63,11.85
9/1/1983,9,10.16,10.615,11.07,11.43,11.65
